A2C70CEYBGWK97	0	EX	1.0	6	ák icedpilí	he will accept	ALL	he will accept	revealed	NULL
A2C70CEYBGWK97	0	MCR	2.0	146	ekki meli	she watches	she watches,she enters,she will enter,you accept,he will watch	you accept	incorrect	NULL
A2C70CEYBGWK97	0	MCR	2.1	146	ekki meli	she watches	she watches,she enters,she will enter,he will watch	she watches	correct	NULL
A2C70CEYBGWK97	0	EX	3.0	8	pi icedpizpe	you accepted	ALL	you accepted	revealed	NULL
A2C70CEYBGWK97	0	EX	4.0	12	yé enplé	I enter	ALL	I enter	revealed	NULL
A2C70CEYBGWK97	0	TP	5.0	185	ekki meli	she watches	ALL	I accept	incorrect	NULL
A2C70CEYBGWK97	0	TPR	6.0	220	ekki melilí	she will watch	ALL	you accept	incorrect	NULL
A2C70CEYBGWK97	0	TPR	6.0	220	ekki melilí	she will watch	ALL	she will watch	revealed	NULL
A2C70CEYBGWK97	0	MCR	7.0	126	ekki enpli	she enters	she enters,she will accept,to accept,she accepts,he enters	she enters	correct	NULL
A2C70CEYBGWK97	0	EX	8.0	16	yé enplilá	I will enter	ALL	I will enter	revealed	NULL
A2C70CEYBGWK97	0	EX	9.0	24	melil	to watch	ALL	to watch	revealed	NULL
A2C70CEYBGWK97	0	EX	10.0	20	yé enplá	I entered	ALL	I entered	revealed	NULL
A2C70CEYBGWK97	0	MC	11.0	55	enplil	to enter	to enter,she will enter,he accepted,you enter,she will accept	to enter	correct	NULL
A2C70CEYBGWK97	0	EX	12.0	13	pi enpliz	you enter	ALL	you enter	revealed	NULL
A2C70CEYBGWK97	0	TPR	13.0	223	ekki melü	she watched	ALL	she enters	incorrect	NULL
A2C70CEYBGWK97	0	TPR	13.0	223	ekki melü	she watched	ALL	she watched	revealed	NULL
A2C70CEYBGWK97	0	MCR	14.0	137	yé enplá	I entered	she entered,I entered,I will enter,to watch,he enters	I entered	correct	NULL
A2C70CEYBGWK97	0	MCR	15.0	133	ák enplilí	he will enter	you accepted,I entered,you will enter,he will enter,I will accept	you will enter	incorrect	NULL
A2C70CEYBGWK97	0	MCR	15.1	133	ák enplilí	he will enter	you accepted,I entered,he will enter,I will accept	he will enter	correct	NULL
A2C70CEYBGWK97	0	MCR	16.0	105	ekki icedpi	she accepts	I will accept,she accepted,you enter,she accepts,he will watch	he will watch	incorrect	NULL
A2C70CEYBGWK97	0	MCR	16.1	105	ekki icedpi	she accepts	I will accept,she accepted,you enter,she accepts	she accepted	incorrect	NULL
